t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total solute surface 21
32623.68633474617,-1075902251719227.2,-576341502514323.4,-363781376287415.6,-140734404134172.77,-1223499017202838.2,-686002738516064.6,-1172849977210443.0,-697906721060452.9,-154557159701301.94,-118027860831425.7,-962011775518807.5,-98501975.70750362,42460560563149.82,4.394395278019571e+19,1.0878925180522493e+18,5.048815531075439e+17,2.7822797729362893e+17,1.8188149224941443e+17,7.14638027002492e+16,5.6076630521528986e+17,3.2261050800481626e+17,5.409898519017373e+17,3.30099737404562e+17,7.764496062982067e+16,6.078939157688527e+16,1.7969041138269306e+21,6.206153154610793e+20
39248.4236016954,-1234019660134683.0,-669412899104454.9,-400917034692211.2,-141831997900830.53,-1407197285320838.0,-811593096122405.0,-1349982017673869.2,-823867276510781.2,-155522995122834.6,-118515875175128.8,-1164834716444677.5,-100471331.98073453,54068021256656.08,5.125357794100555e+19,1.1061073827329893e+18,5.777205856082121e+17,3.221736561405346e+17,1.999675052909077e+17,7.199869211316255e+16,6.434270208312998e+17,3.8045624409729306e+17,6.211498010667075e+17,3.8832478187344474e+17,7.81033840695065e+16,6.102747264080325e+16,2.061317514899247e+21,6.495057113361998e+20
47198.10832203448,-1407801833288355.0,-774169859960355.6,-438398048754156.44,-142625093066273.8,-1610040265675541.2,-960925085463238.9,-1547493644085430.0,-970255112402050.5,-155951660352305.3,-118715153217457.62,-1387981838699885.0,-101053062.66068405,66966088832817.58,5.923404433041296e+19,1.1171681226485212e+18,6.576895937869939e+17,3.715685099681902e+17,2.1821198403524426e+17,7.238609058078475e+16,7.346049339270711e+17,4.491369373328717e+17,7.104185451230889e+17,4.558592636475313e+17,7.8306546320352e+16,6.1124606288713144e+16,2.359493429213154e+21,6.766806531480363e+20
56737.72998644138,-1596426381454662.8,-890668644536976.1,-477059412336527.6,-143262031931864.66,-1831364515787368.5,-1136203169085410.2,-1765771995123358.8,-1139014241623489.5,-156116871347275.25,-118784475229474.34,-1629144602481412.0,-100903351.12211123,80962063804171.25,6.785654025925886e+19,1.1232820774173601e+18,7.444014510293692e+17,4.264312778701026e+17,2.370230436123441e+17,7.269795636145038e+16,8.339916140000938e+17,5.296342240366448e+17,8.08954494278489e+17,5.335707148156611e+17,7.838473843628486e+16,6.11583672651623e+16,2.6935265037104605e+21,7.025099056987118e+20
68185.27598372966,-1798202016900196.8,-1018736252823894.1,-517878163024687.7,-143839824481687.72,-2069616579973493.0,-1338390391116687.8,-2004338954399017.2,-1331755121479381.2,-156172513738141.44,-118804844132376.11,-1885077408693352.5,-100511741.40635541,95826020786421.5,7.707770158942426e+19,1.1263319962555055e+18,8.370722876174141e+17,4.866751520002575e+17,2.5687475483356976e+17,7.298135424780858e+16,9.408809211734153e+17,6.223635000754612e+17,9.165290169618048e+17,6.221767488632621e+17,7.841104286255083e+16,6.116827925954885e+16,3.064543538658364e+21,7.275506634013113e+20
81922.3311804756,-2010475243970647.5,-1158045371046585.0,-561685663085140.56,-144413776749269.56,-2322190768078828.0,-1567480020180522.0,-2261569374396359.0,-1549507392728889.2,-156189708844341.4,-118809867449296.3,-2151546391792199.8,-100189864.58197047,111287141819880.39,8.683230436102891e+19,1.1276939025684581e+18,9.344798888551406e+17,5.5214287768036883e+17,2.781685436462149e+17,7.326312495008674e+16,1.0540975388827693e+18,7.273041390604143e+17,1.032402044276318e+18,7.22134846658757e+17,7.841916855082202e+16,6.1170721872168264e+16,3.472138882177074e+21,7.524629476238587e+20
98406.79741657071,-2229614302490999.0,-1308064087953493.8,-608951521038375.8,-145010687228502.2,-2585329399098899.5,-1822727593656243.0,-2534456764116241.0,-1792253651260808.8,-156195532181020.88,-118810903363672.48,-2423381085512531.0,-100109512.7931321,127032434623486.94,9.702258494358228e+19,1.1282341075037855e+18,1.034957517634991e+18,6.225826979044731e+17,3.0112937619228026e+17,7.355627082468776e+16,1.1719539232444928e+18,8.441056990410651e+17,1.1552186051039496e+18,8.33430509050699e+17,7.84219251573645e+16,6.117122524853521e+16,3.913730330101298e+21,7.778660325017286e+20
118188.15689988485,-2451115442365480.5,-1467733477470310.8,-659615932054778.9,-145638958742482.56,-2854193505354163.5,-2102157910814994.0,-2818471364209756.0,-2058255805196578.0,-156198510401449.1,-118811082439334.95,-2694668593983340.5,-100348405.66093534,142713619309367.72,1.0750752183335728e+20,1.1284230660076882e+18,1.1364435355477756e+18,6.97496728609983e+17,3.2572529402344896e+17,7.386484424061933e+16,1.2922833353633088e+18,9.718590781666281e+17,1.2829459423151992e+18,9.552691290567505e+17,7.842334022397411e+16,6.117131222461122e+16,4.383946878343375e+21,8.041693358039478e+20
141925.78827986182,-2669857656970486.5,-1634976599625017.0,-713013118721105.0,-146294697864537.28,-3123100098128366.5,-2401573488735717.5,-3107559820392904.5,-2343365662566136.0,-156200888188408.34,-118811109335575.58,-2959091457668775.0,-100922622.04046911,157963896107909.3,1.1809613330789758e+20,1.1284809573632863e+18,1.2365984533380124e+18,7.759112167861873e+17,3.516312138380912e+17,7.418689833924243e+16,1.4125467767080963e+18,1.1086427543746515e+18,1.4128730730858286e+18,1.0857597685376211e+18,7.842447258687738e+16,6.117132529485719e+16,4.874213541674344e+21,8.314345352605809e+20
170410.94593583417,-2880476267567636.0,-1806375142190298.5,-767922220442538.4,-146965359578018.78,-3385814784092705.5,-2713943996100499.5,-3394348437868786.0,-2640605871515317.0,-156203160970024.3,-118811113857817.7,-3210373085038626.0,-101804407.66217051,172422439060524.7,1.2854958970513516e+20,1.1284963944881421e+18,1.3329757043516746e+18,8.562261970961925e+17,3.7825439088863674e+17,7.451625645885269e+16,1.5299642772900465e+18,1.2512473151968794e+18,1.5417007224652508e+18,1.2217221719615404e+18,7.842555565133331e+16,6.117132750509839e+16,5.372702931172793e+21,8.593222183563842e+20
204593.135123001,-3077783729027678.0,-1977204078770080.5,-822695887724789.9,-147632258772154.34,-3635851930263836.5,-3029574716372267.5,-3670596237136622.5,-2940272131838537.5,-156205398113594.84,-118811115639052.95,-3442756081229766.0,-102931621.42458078,185761644568496.88,1.3859467745957745e+20,1.1284999568387629e+18,1.4232134266098857e+18,9.362327372053357e+17,4.047971056356113e+17,7.484373703410181e+16,1.641649227265419e+18,1.3952555859209615e+18,1.6657428240671183e+18,1.358732175787301e+18,7.842662189114434e+16,6.117132838535118e+16,5.864789612423073e+21,8.871408572090087e+20
245611.7621476012,-3257168238420848.5,-2141779477305558.0,-875418246677973.0,-148272833235027.66,-3866847834759576.5,-3336860873555840.0,-3927891728355161.0,-3230710483364019.0,-156207560335595.3,-118811117110824.44,-3651421246883299.5,-104215137.55210596,197711085342483.7,1.4794699111291155e+20,1.1285006646382129e+18,1.5052156184342272e+18,1.0132761187649628e+18,4.303331719332782e+17,7.51582614845488e+16,1.744774502468956e+18,1.5353871819017116e+18,1.7812374956779297e+18,1.4914761183242053e+18,7.842765245461322e+16,6.117132911516995e+16,6.334104047064468e+21,9.139672338971765e+20
294834.11457712145,-3414927201932894.0,-2294065937493340.0,-924109380182966.2,-148863408036908.56,-4073057029681135.5,-3623496893145700.5,-4158529579404422.0,-3499764807074917.0,-156209573861072.25,-118811118482123.28,-3832792091196275.0,-105549330.904273,208074307677977.6,1.5634058456814744e+20,1.1285007852145853e+18,1.5773031573196628e+18,1.0845398232106559e+18,4.539067002949637e+17,7.544821012700299e+16,1.8367923982665882e+18,1.6660482944104312e+18,1.8847392786349565e+18,1.6144118720483144e+18,7.842861214603502e+16,6.117132979541228e+16,6.764202978930072e+21,9.387978525549443e+20
353900.9374925457,-3548528016836121.0,-2428513347377335.0,-966991265052713.9,-149382659426485.5,-4249938835127474.0,-3878116951509202.0,-4356450705203132.5,-3736643883555601.0,-156211359872351.9,-118811119715833.81,-3984736720423201.0,-106827525.67886013,216738930530695.2,1.6356076793419065e+20,1.1285008027995581e+18,1.6383314283442092e+18,1.1474361349522708e+18,4.746603690642121e+17,7.570312148252637e+16,1.9156939720934208e+18,1.782076935892301e+18,1.9735403443264387e+18,1.72262143490914e+18,7.842946339180291e+16,6.117133040741118e+16,7.14069848251939e+21,9.607118876802746e+20
424781.1249910548,-3656817718753648.5,-2540981120048690.5,-1002771462739240.1,-149815191052713.9,-4394751959625295.0,-4092110678045762.5,-4518075583062799.0,-3933728569237910.0,-156212856107233.84,-118811120760732.89,-4106709075292122.0,-107959538.74151334,223682882888680.03,1.694751179986102e+20,1.1285008050269952e+18,1.6877846670299156e+18,1.2000371120303782e+18,4.919720967416787e+17,7.591544596081701e+16,1.9802717868098775e+18,1.8795673274912538e+18,2.0460439851589164e+18,1.8126356434088924e+18,7.843017651820066e+16,6.117133092573894e+16,7.453453152767208e+21,9.79029037456187e+20
509837.3499892658,-3740183961265479.0,-2629488861253080.0,-1030863310289658.9,-150154222360798.2,-4507031448208631.0,-4261108667011903.5,-4642826702020412.0,-4087785230647009.0,-156214031759942.66,-118811121586790.83,-4199834019297730.5,-108885979.95415995,228977712277835.2,1.7405537968058712e+20,1.1285008053037142e+18,1.725848414060689e+18,1.2414242189642504e+18,5.055609629124059e+17,7.60818633358296e+16,2.03033065961919e+18,1.9565438073972086e+18,2.1019985914084628e+18,1.8829872246279153e+18,7.843073684670075e+16,6.117133133550363e+16,7.698268435140217e+21,9.934299719306341e+20
611904.819987119,-3800596558864541.0,-2694532054822684.5,-1051467262414113.8,-150402507208391.78,-4588769413335886.0,-4385624144917592.5,-4733159897974050.0,-4200219276885615.5,-156214892648462.28,-118811122192976.77,-4266867208917609.0,-109584871.69572623,232785476946197.56,1.7738254285983846e+20,1.1285008053605134e+18,1.7534279802126164e+18,1.2718348841172326e+18,5.1552612218523475e+17,7.62037318952014e+16,2.0667672499912579e+18,2.0132511313339077e+18,2.1425113029652406e+18,1.934325439568979e+18,7.84311471535071e+16,6.117133163619821e+16,7.877493293304166e+21,1.0040028066111542e+21
691200.0,-3831811509095625.5,-2728375794577101.5,-1062174625386813.2,-150531397995551.16,-4631099948117221.0,-4450512162106633.5,-4779746040070538.0,-4258426631988857.0,-156215339050105.88,-118811122507268.11,-4301356896186376.0,-109953751.06109698,234743584727634.5,1.791022527143244e+20,1.1285008053810605e+18,1.7676770450427348e+18,1.2876570219225523e+18,5.207042534603047e+17,7.626699527051272e+16,2.0856353694638953e+18,2.0428001356864507e+18,2.1634027855308424e+18,1.9609012956827272e+18,7.843135991194866e+16,6.117133179209979e+16,7.970546366544292e+21,1.0095003453625101e+21
