t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total solute surface 21
6400.249944258168,-278946376178697.16,-139061797478333.66,-97320290345446.5,-86204206657136.05,-311577484113198.8,-161221800587716.0,-298778745226459.25,-164576219746747.1,-88809104459144.98,-72216171240248.16,-86276810598725.16,19527211221067.15,6.631771965264363e+16,7.808154831408864e+18,5.345406503060475e+17,1.357380176161177e+17,7.031352274568009e+16,5.11134680313843e+16,4.491036178179727e+16,1.4812072124579386e+17,7.940884129440291e+16,1.430031011331011e+17,8.156742467457165e+16,4.604290805555263e+16,3.824822917348839e+16,5.24697981675925e+20,3.275909370059456e+20
7140.274938683986,-308257361909559.06,-153340616489058.2,-107984151124229.7,-91852594238289.88,-344121818661431.5,-178304429532909.62,-329555487890637.7,-183521945514085.1,-96097580257307.9,-77529086813953.6,-106282536228401.06,19511505817421.75,6.634159657639098e+16,8.932168707721318e+18,5.834763495434636e+17,1.4943175092543267e+17,7.717995183094358e+16,5.641061681182307e+16,4.765966967361145e+16,1.6297403710823123e+17,8.741767501683632e+16,1.5714025386747152e+17,9.051269914271515e+16,4.958620078947462e+16,4.087956904422377e+16,5.701081865361556e+20,3.4870165496080413e+20
7954.302432552385,-339876630841038.1,-168730530100842.7,-119380435958211.61,-97066813186863.92,-379225209862978.5,-196906751287499.3,-362658339940292.06,-204439624702055.28,-103430810356573.92,-82727348210204.36,-129738813049239.94,19503084644087.086,6.635460164705463e+16,1.0181916858306933e+19,6.330256637233655e+17,1.6418517174536458e+17,8.456995189121096e+16,6.205917754529855e+16,5.01937089151437e+16,1.7897470765936125e+17,9.612674166172022e+16,1.7232663272199622e+17,1.0037074035666002e+17,5.314264686969348e+16,4.344952308191559e+16,6.187212594616782e+20,3.6905167938788957e+20
8849.732675807623,-373967403040655.1,-185346273943544.47,-131506146617948.88,-101798790371968.11,-417070617108594.25,-217233729967852.8,-398250429945051.94,-227585125748402.6,-110719563064031.25,-87742581440008.5,-157014960190993.28,19498717174107.348,6.636153379150765e+16,1.1566200846429868e+19,6.825263574816758e+17,1.8007284793504272e+17,9.2537891935916e+16,6.805733409812458e+16,5.249099574071914e+16,1.9620432377583066e+17,1.0563105985219371e+17,1.8863552457945462e+17,1.1125937218643694e+17,5.666919581599634e+16,4.592494879521678e+16,6.708539218541357e+20,3.889059197550077e+20
9834.705943388386,-410701656079723.25,-203329385412218.34,-144353335556967.38,-106033071553331.31,-457850108056733.56,-239537391477250.25,-436507725250750.44,-253250705189678.84,-117859392758434.5,-92505691770402.14,-188480981416316.34,19496486241143.27,6.636527152259766e+16,1.3093277219206631e+19,7.312882601336744e+17,1.971732751920094e+17,1.0115077201175891e+17,7.440102483717682e+16,5.4545624708892184e+16,2.1474846504024246e+17,1.1604723892254101e+17,2.0614591597328704e+17,1.233130105964577e+17,6.0115788642140856e+16,4.827244902741843e+16,7.268243977417961e+20,4.084741129699234e+20
10918.176537727226,-450259388744451.25,-222854585008436.62,-157913082673691.75,-109784290143991.88,-501763638833697.56,-264121085874745.9,-477619625607237.4,-281766894488052.2,-124734557824782.97,-96950639187216.61,-224500376608664.03,19495310783006.637,6.636745584908294e+16,1.477074194534196e+19,7.786311133457746e+17,2.1556853252104346e+17,1.1049117278533411e+17,8.10859138729013e+16,5.6365869547813864e+16,2.3469615429359133e+17,1.2751520508374162e+17,2.2494274687718323e+17,1.3668348916368299e+17,6.342732867004148e+16,5.0460210221480696e+16,7.869545097579628e+20,4.279031642977007e+20
12109.994191499949,-492827302593072.4,-244134975529300.84,-172179773073436.2,-113088841686666.83,-549017280615221.56,-291335929469413.3,-521788969565661.2,-313502382651243.2,-131225208530219.2,-101018524568482.19,-265422198188258.0,19494612043423.742,6.636897575541638e+16,1.6605506375014228e+19,8.239211209200027e+17,2.3534367109366557e+17,1.2065960694215597e+17,8.810942655985278e+16,5.797005849970996e+16,2.5613906789282595e+17,1.4019622767437787e+17,2.4511689931915875e+17,1.5153996012870368e+17,6.654716340123214e+16,5.245997423796126e+16,8.515719462376975e+20,4.472785717691609e+20
13420.993610649944,-538596738013657.5,-267423584494392.7,-187152664144881.72,-115993403136879.89,-599821002912908.8,-321564739885783.06,-569231123282892.5,-348860887352437.8,-137217348400193.58,-104661519998593.33,-311572675378265.5,19494095897701.0,6.6370289335511816e+16,1.8603857165056774e+19,8.666018229926552e+17,2.5658576221935014e+17,1.3177510203939651e+17,9.547137489256797e+16,5.9381041955742216e+16,2.791705526035576e+17,1.5426513726974266e+17,2.6676477433378144e+17,1.6806741519898995e+17,6.942181746760519e+16,5.424892628141842e+16,9.210122500609299e+20,4.666295997291895e+20
14863.092971714941,-587760687952051.9,-293007963589062.44,-202832038666909.12,-118544308928849.12,-654386318761727.8,-355190347743999.7,-620171785560148.9,-388274111456863.0,-142613990697348.44,-107846288399038.98,-363246815645709.9,19493620311010.027,6.6371621789734e+16,2.077157124572087e+19,9.062162218290518e+17,2.7938252414970896e+17,1.4397247981607957e+17,1.0317191484995885e+17,6.0621178968026904e+16,3.038845863235759e+17,1.698954145195105e+17,2.899872962688539e+17,1.8646342395184304e+17,7.2006220181676184e+16,5.581133483431117e+16,9.956204057516164e+20,4.859371227410956e+20
16449.402268886435,-640509718643282.4,-321194535977595.6,-219209626571258.66,-120781105975053.86,-712924286571851.9,-392550357678222.06,-674843223452165.2,-432190483331119.25,-147345219420997.56,-110556609323123.36,-420700425553964.75,19493119947647.266,6.637307928311283e+16,2.311404343742246e+19,9.424190270603448e+17,3.0382045047034765e+17,1.5739481003895414e+17,1.1120677593124523e+17,6.1709390648163e+16,3.303749020574564e+17,1.8723828360336134e+17,3.148882212972707e+17,2.0693296824992538e+17,7.42683584627812e+16,5.7139809853249256e+16,1.0757519789907891e+21,5.051438979449828e+20
18194.34249577508,-697026665375197.9,-352280915008598.94,-236256506947569.34,-122735362698298.72,-775644385740442.5,-433890022951717.0,-733478923299373.2,-481060596555530.94,-151374970641404.22,-112794916584318.9,-484142954612208.94,19492566114604.188,6.637471002046323e+16,2.5636376570279866e+19,9.749799144358885e+17,3.299823807117837e+17,1.7218026310828115e+17,1.1956140127064098e+17,6.266073329727342e+16,3.587345003436609e+17,2.064013806491902e+17,3.4157174895418176e+17,2.2968180753245328e+17,7.619235503392946e+16,5.823603572769906e+16,1.1617737861024547e+21,5.241666288407895e+20
20113.77674535259,-757480050892728.6,-386518268618506.56,-253914572580566.62,-124433428396859.39,-842754422255072.2,-479336279873651.56,-796307109212368.2,-535321857605168.9,-154703252292316.8,-114582413551488.67,-553731451720191.94,19491946882001.484,6.637653482066717e+16,2.834337875633962e+19,1.0037801942144529e+18,3.579444901999866e+17,1.8844441400577194e+17,1.2820696879472208e+17,6.348781958594164e+16,3.890556099762531e+17,2.2743770440231114e+17,3.70139642916322e+17,2.549095266176484e+17,7.777940103524363e+16,5.911081407152638e+16,1.254064053926511e+21,5.429090759177972e+20
22225.154419887847,-822016288601940.6,-424071958795508.6,-272098101404027.0,-125900597126289.56,-914460762939396.9,-528920876713312.75,-863544106515511.4,-595386034335578.2,-157363763066775.7,-115957467618144.95,-629565750848820.6,19491257856685.55,6.637856143591818e+16,3.123941490439734e+19,1.0288057954185938e+18,3.877727282190763e+17,2.0626193543421338e+17,1.3710141384479067e+17,6.420285310112031e+16,4.2142977340829875e+17,2.5035753030707363e+17,4.006882970166587e+17,2.8280393474050643e+17,7.904654669667992e+16,5.9783269085428344e+16,1.3530119068154205e+21,5.6127561618699636e+20
24547.669861876635,-890750857450711.5,-464994983048756.06,-290709163041229.0,-127164369955164.02,-990967062609381.6,-582667406920574.0,-935388802818687.1,-661632989073556.5,-159417886038112.2,-116972179051279.44,-711684808994924.5,19490498157303.71,6.638079088048178e+16,3.4328084926571508e+19,1.0501388603399274e+18,4.195187899685993e+17,2.2565452093292643e+17,1.4619715534841424e+17,6.481918396259815e+16,4.559472335901359e+17,2.7516956393402173e+17,4.333062974473582e+17,3.135382690275183e+17,8.002381471222429e+16,6.027916411636817e+16,1.459015793859958e+21,5.791844020826469e+20
27102.436848064302,-963758739278133.8,-509230310657217.9,-309664989759157.4,-128255675245078.78,-1072468915593612.1,-640721322120541.9,-1012019116179608.5,-734411030491626.9,-160946485310272.56,-117687375077363.23,-800063959749219.2,19489668738539.18,6.638322013433824e+16,3.761176202061511e+19,1.0679488317495642e+18,4.532157547766755e+17,2.4659250859743667e+17,1.5545450416043104e+17,6.535186299585223e+16,4.926944859312469e+17,3.019409784125132e+17,4.680728713928766e+17,3.472713401634113e+17,8.075030117785603e+16,6.062845288911755e+16,1.5724802870438406e+21,5.965784869538841e+20
