t(s),Flux surface 40: solute,Flux surface 41: solute,Flux surface 42: solute,Flux surface 43: solute,Flux surface 44: solute,Flux surface 45: solute,Flux surface 46: solute,Flux surface 47: solute,Flux surface 48: solute,Flux surface 49: solute,Flux surface 39: solute,Flux surface 22: solute,Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 6,Total solute surface 21
22502.559954684843,-806498333806574.8,-423420792711116.75,-289670037121244.8,-136820838051147.23,-912628525730698.9,-492980420802118.3,-875508978832502.9,-498598553964598.0,-149354181742817.53,-115107555568595.44,-637682922633652.5,19491163658160.28,6.637883636625453e+16,3.1486022779794256e+19,1.0216933497219827e+18,3.805610971372053e+17,2.058610416118241e+17,1.457362261191252e+17,6.956117734098818e+16,4.206361600015219e+17,2.3352277761797302e+17,4.061620856019514e+17,2.3769232101929552e+17,7.516893502364018e+16,5.936244994131624e+16,1.3586683767388231e+21,5.5736064935218086e+20
27103.07194562181,-933582770118939.8,-494587178268197.3,-326617171179232.4,-139137136792337.33,-1058908584864101.5,-580969624706408.6,-1015170774553699.4,-590228293764769.5,-152655962644031.97,-116998909352379.61,-796487607601659.8,19489686897898.04,6.63831614738025e+16,3.742115510177271e+19,1.0603378822500129e+18,4.3924459780121517e+17,2.3956787930171488e+17,1.637667812243732e+17,7.068674735555738e+16,4.866182932271177e+17,2.7416429334227875e+17,4.6953813568652634e+17,2.8022373628460733e+17,7.674117703441166e+16,6.028694465804858e+16,1.5636588525725027e+21,5.898656434773361e+20
32623.68633474617,-1075961270518924.6,-576341502623220.9,-363781376419639.4,-140734404137914.94,-1223563173930048.5,-686002738627266.4,-1172918528986905.2,-697906727427043.9,-154557159701309.25,-118027860831425.7,-977705392708154.8,19487971065652.8,6.638817892447459e+16,4.404602625643853e+19,1.0878925180522493e+18,5.049091234095863e+17,2.782279773454555e+17,1.818814923147238e+17,7.1463802702109016e+16,5.607956138252334e+17,3.226105080568625e+17,5.410213813284891e+17,3.300997403512173e+17,7.764496062982414e+16,6.078939157688527e+16,1.7969434556228352e+21,6.206153154662023e+20
39248.4236016954,-1234101816135710.0,-669412899795415.8,-400917035701989.7,-141831997925916.94,-1407284154894055.8,-811593097074409.9,-1350076796495409.8,-823867307282089.2,-155522995122884.0,-118515875175128.8,-1180662556482593.2,19486026493142.633,6.639385540752858e+16,5.135772436556542e+19,1.1061073827329893e+18,5.777588756946856e+17,3.221736564687784e+17,1.9996750578798163e+17,7.1998692125601336e+16,6.434666136459067e+17,3.804562445412373e+17,6.211932843555191e+17,3.8832479606898355e+17,7.810338406953016e+16,6.102747264080325e+16,2.0613673060364745e+21,6.495057113898878e+20
47198.10832203448,-1407910197335299.0,-774169864027884.5,-438398054516585.06,-142625093194230.1,-1610152349041408.5,-960925091604341.5,-1547618262529707.0,-970255233793383.0,-155951660352561.5,-118715153217457.62,-1403912873403300.5,19483874113869.15,6.640013113483872e+16,5.933995066796109e+19,1.1171681226485212e+18,6.577400005498601e+17,3.7156851189662554e+17,2.1821198686373206e+17,7.238609064410882e+16,7.346559187728119e+17,4.491369401866446e+17,7.104755936018223e+17,4.5585931949603514e+17,7.830654632047494e+16,6.1124606288713144e+16,2.359554896426789e+21,6.766806535632467e+20
56737.72998644138,-1596562842299352.5,-890668664657534.6,-477059437597718.0,-143262032441948.6,-1831503325617900.0,-1136203199565096.8,-1765929017960178.5,-1139014638985808.5,-156116871348317.84,-118784475229474.38,-1645159097891388.0,19481542109165.254,6.640692540619253e+16,6.7963995339290034e+19,1.1232820774173601e+18,7.44464823318684e+17,4.2643128738948154e+17,2.3702305598147853e+17,7.269795661348373e+16,8.340546512943247e+17,5.296342381549741e+17,8.090262379397896e+17,5.33570897220058e+17,7.838473843678448e+16,6.11583672651623e+16,2.6936007808651226e+21,7.025099081252417e+20
68185.27598372966,-1798367148886444.2,-1018736333430788.6,-517878250392165.4,-143839826111883.8,-2069782591323145.5,-1338390510230410.2,-2004529808760443.8,-1331756219327314.0,-156172513741558.34,-118804844132376.2,-1901162543399904.2,19479065858449.77,6.641413604011347e+16,7.71865523686358e+19,1.1263319962555057e+18,8.37148868191531e+17,4.866751900617615e+17,2.5687479752322422e+17,7.298135505223038e+16,9.409562040471293e+17,6.223635550886017e+17,9.166160671704355e+17,6.221772519016044e+17,7.841104286418648e+16,6.116827925954887e+16,3.0646316543628317e+21,7.275506743566561e+20
81922.3311804756,-2010668317845796.2,-1158045632632373.8,-561685907789733.56,-144413781030274.12,-2322383433007446.5,-1567480395828673.8,-2261794352813436.5,-1549509996978377.5,-156189708853580.84,-118809867449296.66,-2167692794880627.8,19476488608046.527,6.642163752490021e+16,8.694242123992814e+19,1.1276939025684582e+18,9.345693218753375e+17,5.521430009817333e+17,2.78168662997931e+17,7.326312706027008e+16,1.0541848017396765e+18,7.27304312105044e+17,1.0325044987999588e+18,7.221360382283759e+17,7.841916855524042e+16,6.117072187216847e+16,3.4722417421045067e+21,7.524629866786199e+20
98406.79741657071,-2229833409984659.2,-1308064786714614.8,-608952090647962.5,-145010696691137.2,-2585547209701081.0,-1822728574702617.8,-2534715070705141.0,-1792259045042727.2,-156195532202148.47,-118810903363673.81,-2439580635741252.5,19473861516302.0,6.642928116803843e+16,9.713384103643847e+19,1.1282341075037857e+18,1.0350589079331447e+18,6.225830267770258e+17,3.011296535797905e+17,7.355627548488626e+16,1.172052471656424e+18,8.441061499442684e+17,1.1553360726921871e+18,8.334329742875311e+17,7.842192516746102e+16,6.117122524853584e+16,3.9138486842479797e+21,7.778661449306503e+20
118188.15689988485,-2451357720547145.5,-1467735048191232.8,-659617062559350.2,-145638976767080.25,-2854434124684835.0,-2102160089099100.8,-2818761187659795.0,-2058265716611079.8,-156198510443313.34,-118811082439339.11,-2710913354746764.5,19471242277661.85,6.643689934179869e+16,1.0761978497645237e+20,1.1284230660076887e+18,1.1365555531096096e+18,6.97497466928599e+17,3.2572584382032314e+17,7.38648531111711e+16,1.2923921059404357e+18,9.718600774097874e+17,1.2830775790535066e+18,9.552736555440983e+17,7.842334024396893e+16,6.117131222461324e+16,4.3840812657344643e+21,8.041696033596952e+20
141925.78827986182,-2670119604088089.0,-1634979641872463.5,-713015079683001.1,-146294728129401.84,-3123360581698333.0,-2401577705512494.0,-3107878449105920.0,-2343382063026664.0,-156200888261975.66,-118811109335586.7,-2975373418110069.5,19468692144604.086,6.644431426520795e+16,1.1820926643039997e+20,1.1284809573632876e+18,1.2367194791175058e+18,7.759126452712824e+17,3.5163216643083885e+17,7.41869132252964e+16,1.4126644370394296e+18,1.1086446856437903e+18,1.413017636899812e+18,1.0857672545900381e+18,7.842447262199806e+16,6.117132529486274e+16,4.87436421416545e+21,8.314350745265532e+20
170410.94593583417,-2880754124035710.5,-1806380336055016.0,-767925262137676.9,-146965405323467.0,-3386091879701166.0,-2713951271404270.0,-3394692441989762.0,-2640630636420459.0,-156203161087015.56,-118811113857842.73,-3226684371452895.5,19466271714555.22,6.64513502507575e+16,1.2866345515157098e+20,1.1284963944881439e+18,1.3331040053152056e+18,8.562286337101847e+17,3.78255867074887e+17,7.451627894923211e+16,1.53008936052845e+18,1.2512506429514673e+18,1.5418566563829135e+18,1.2217334723005975e+18,7.842555570716496e+16,6.1171327505110856e+16,5.372869770893714e+21,8.593231615001626e+20
204593.135123001,-3078073865643046.5,-1977212055319191.0,-822700192432502.5,-147632322179751.25,-3636142401102671.0,-3029586103362740.0,-3670961725557799.5,-2940306658361898.0,-156205398284662.9,-118811115639101.34,-3459089372058161.0,19464036284358.098,6.6457847121495544e+16,1.3870914243616432e+20,1.128499956838767e+18,1.4233473335192438e+18,9.362364765299224e+17,4.0479919313846016e+17,7.484376819718098e+16,1.6417802768456315e+18,1.3952607890329636e+18,1.665908371643228e+18,1.3587479274960225e+18,7.842662197276275e+16,6.117132838537518e+16,5.864972065542018e+21,8.871423220484382e+20
245611.7621476012,-3257467473891128.0,-2141790689014944.8,-875423899124733.6,-148272915097501.25,-3867148733323319.5,-3336877262688901.5,-3928274657489320.5,-3230755386213277.0,-156207560568254.9,-118811117110906.36,-3667770192093849.0,19462031762301.887,6.646367198170805e+16,1.4806193283988895e+20,1.1285006646382189e+18,1.5053536708152696e+18,1.0132813715484105e+18,4.3033591123664794e+17,7.515830170690957e+16,1.7449101946242857e+18,1.535394664656641e+18,1.7814108383982328e+18,1.491496601999576e+18,7.842765256559626e+16,6.11713291152107e+16,6.334301095412169e+21,9.139692969886998e+20
294834.11457712145,-3415232983632547.5,-2294080569130308.0,-924116360394670.5,-148863507734372.2,-4073365865987892.0,-3623518818522591.0,-4158926063548825.0,-3499819795074211.5,-156209574157851.38,-118811118482246.44,-3849151594268330.0,19460291769776.67,6.646872756196094e+16,1.5645589431419925e+20,1.1285007852145924e+18,1.5774441855345533e+18,1.084546674939936e+18,4.539100813115655e+17,7.544825910228845e+16,1.8369316170627912e+18,1.6660582986394048e+18,1.8849186733790664e+18,1.6144369551843062e+18,7.8428612287584e+16,6.117132979547342e+16,6.764413163818537e+21,9.388005352291157e+20
353900.9374925457,-3548838442929707.5,-2428531289904987.0,-966999460188640.4,-149382775147204.03,-4250253620602755.5,-3878144466728149.5,-4356857271005707.0,-3736707859020507.0,-156211360229957.47,-118811119716000.16,-4001103008925340.0,19458835850336.96,6.647295739717325e+16,1.6367635335153913e+20,1.1285008027995684e+18,1.6384745629285594e+18,1.1474445338958381e+18,4.746643369402309e+17,7.57031783200992e+16,1.9158358286009848e+18,1.782089484788194e+18,1.9737242357412754e+18,1.722650616943239e+18,7.842946356234595e+16,6.1171330407493784e+16,7.140919986209333e+21,9.607151568394626e+20
424781.1249910548,-3657131435849625.0,-2541002009134249.5,-1002780692453640.8,-149815320178182.28,-4395071151307616.5,-4092143349296016.0,-4518489326576156.0,-3933799906965020.5,-156212856517313.06,-118811120760939.05,-4123079566983119.0,19457668322489.57,6.647634916590235e+16,1.6959090357760485e+20,1.1285008050270067e+18,1.687929291054903e+18,1.2000468873984146e+18,4.9197656414806074e+17,7.591550937484426e+16,1.9804155934622298e+18,1.879582222721972e+18,2.0462310747180977e+18,1.8126681829269476e+18,7.843017671375394e+16,6.11713309258415e+16,7.453683932978125e+21,9.790328175411562e+20
509837.3499892658,-3740500009076410.5,-2629512163589548.5,-1030873359260163.6,-150154361922404.2,-4507353847676949.0,-4261145684403545.5,-4643245337874311.0,-4087862126965202.0,-156214032211203.56,-118811121587029.2,-4216207059215547.0,19456777644114.547,6.647893655030046e+16,1.7417130567993295e+20,1.1285008053037286e+18,1.7259940913070592e+18,1.2414351212974362e+18,5.055658257534039e+17,7.60819318693021e+16,2.0304758841830656e+18,1.95656067988319e+18,2.102187858536402e+18,1.883022298723934e+18,7.84307370618813e+16,6.117133133562187e+16,7.698506395861926e+21,9.934341627795666e+20
611904.819987119,-3800914231820329.5,-2694557174193388.0,-1051477912983232.2,-150402654314925.56,-4589094075242213.0,-4385664507540620.5,-4733581721376382.0,-4200300050766782.0,-156214893129195.9,-118811122193238.31,-4283241778891668.0,19456136895609.594,6.648079784497805e+16,1.7749856341560885e+20,1.1285008053605268e+18,1.7535743912126077e+18,1.2718466348015094e+18,5.155312753319948e+17,7.620380412952571e+16,2.066913473836114e+18,2.0132695254286024e+18,2.1427019873947174e+18,1.9343622813702636e+18,7.843114738273408e+16,6.117133163632796e+16,7.877736463068819e+21,1.004007302101957e+21
691200.0,-3832130013763969.0,-2728401870616272.0,-1062185587988094.1,-150531548972806.22,-4631425769555270.0,-4450554309626914.5,-4780169397366911.0,-4258509338833323.0,-156215339545719.53,-118811122507541.34,-4317732174307901.0,19455807333189.53,6.648175516807913e+16,1.792183199665079e+20,1.1285008053810757e+18,1.7678238314462615e+18,1.2876692192018468e+18,5.2070955715710496e+17,7.626706940335942e+16,2.0857821052897969e+18,2.042819341563055e+18,2.163594151463749e+18,1.9609390185116657e+18,7.84313601482672e+16,6.117133179223541e+16,7.970792224719286e+21,1.0095049997125377e+21
